2026-03-24 05:21:32 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan] Scroll pass 2/3
2026-03-24 05:21:34 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan] Scroll pass 3/3
2026-03-24 05:21:37 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan] Lazy-load trigger complete
2026-03-24 05:21:38 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   carousels: clicked 2
2026-03-24 05:21:38 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan] reveal_hidden_images complete — 2 elements triggered
2026-03-24 05:21:39 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan] PASS 1: 75 img elements
2026-03-24 05:21:39 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': True, 'inRealLink': True, 'linkHref': 'https://www.bluecaffeine.com/', 'hasClick': True}
2026-03-24 05:21:39 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 1b] functional/logos
2026-03-24 05:21:39 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [functional/logos] img_257217c414f1.png
2026-03-24 05:21:39 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': True, 'inRealLink': True, 'linkHref': 'https://www.bluecaffeine.com/', 'hasClick': True}
2026-03-24 05:21:39 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 1b] functional/logos
2026-03-24 05:21:39 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [functional/logos] img_3eb072697322.png
2026-03-24 05:21:39 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': True, 'inRealLink': True, 'linkHref': 'https://www.bluecaffeine.com/', 'hasClick': True}
2026-03-24 05:21:39 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 1b] functional/logos
2026-03-24 05:22:40 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [functional/logos] img_f2457a848332.png
2026-03-24 05:22:40 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': False, 'inRealLink': False, 'linkHref': None, 'hasClick': False}
2026-03-24 05:22:40 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Aspect-ratio heuristic 1.33 632×475 (+1)
2026-03-24 05:22:40 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] _is_chart score=1 → no
2026-03-24 05:22:40 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 4] informative/succinct_information
2026-03-24 05:22:40 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [informative/succinct_information] img_40a125f653e4.png
2026-03-24 05:22:40 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': False, 'inRealLink': False, 'linkHref': None, 'hasClick': False}
2026-03-24 05:22:40 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] _is_chart score=0 → no
2026-03-24 05:22:40 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 4] informative/succinct_information
2026-03-24 05:23:41 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [informative/succinct_information] img_26a2001138b5.png
2026-03-24 05:23:41 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': True, 'inRealLink': True, 'linkHref': 'https://www.google.com/partners/agency?id=3026234250', 'hasClick': True}
2026-03-24 05:23:41 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] _is_chart score=0 → no
2026-03-24 05:23:41 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 1d] functional/icons
2026-03-24 05:23:41 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [functional/icons] img_3e187055c267.png
2026-03-24 05:23:41 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': False, 'inRealLink': False, 'linkHref': None, 'hasClick': False}
2026-03-24 05:23:41 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] _is_chart score=0 → no
2026-03-24 05:23:41 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 4] informative/succinct_information
2026-03-24 05:24:42 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [informative/succinct_information] img_50035d4ff635.png
2026-03-24 05:24:42 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Context: {'inButton': False, 'inLink': False, 'inRealLink': False, 'linkHref': None, 'hasClick': False}
2026-03-24 05:24:42 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] Ancestor <figure> (+2)
2026-03-24 05:24:42 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] _is_chart score=2 → no
2026-03-24 05:24:42 | INFO     | [classify_assets] | KAC | [bold cyan]\[classify_assets][/bold cyan] [STEP 4] informative/succinct_information
2026-03-24 05:24:42 | INFO     | [crawler       ] | KAC | [bold cyan]\[crawler][/bold cyan]   ✓ [informative/succinct_information] img_82d7628d2392.png
